Approach,,,,Retraction,
Distance (nm),Force (nN),,,Distance (nm),Force (nN)
7.52E+02,4.04E-02,,,6.07E+02,-0.01
7.48E+02,6.23E-02,,,6.10E+02,-0.02
7.44E+02,4.88E-02,,,6.14E+02,-0.02
7.40E+02,4.71E-02,,,6.18E+02,-0.01
7.37E+02,5.22E-02,,,6.22E+02,-0.01
7.33E+02,5.22E-02,,,6.26E+02,-0.01
7.29E+02,5.55E-02,,,6.30E+02,-0.03
7.25E+02,5.39E-02,,,6.33E+02,-0.02
7.21E+02,5.05E-02,,,6.37E+02,-0.04
7.18E+02,4.38E-02,,,6.40E+02,-0.03
7.14E+02,4.71E-02,,,6.44E+02,-0.02
7.10E+02,3.53E-02,,,6.48E+02,-0.05
7.06E+02,5.39E-02,,,6.52E+02,-0.03
7.02E+02,2.52E-02,,,6.55E+02,-0.05
6.99E+02,4.21E-02,,,6.60E+02,-0.04
6.95E+02,4.88E-02,,,6.64E+02,-0.04
6.90E+02,4.88E-02,,,6.68E+02,-0.05
6.86E+02,4.88E-02,,,6.72E+02,-0.06
6.82E+02,3.53E-02,,,6.75E+02,-0.07
6.78E+02,4.21E-02,,,6.79E+02,-0.05
6.75E+02,5.39E-02,,,6.83E+02,-0.05
6.71E+02,4.54E-02,,,6.87E+02,-0.06
6.67E+02,3.20E-02,,,6.91E+02,-0.05
6.63E+02,2.69E-02,,,6.94E+02,-0.06
6.59E+02,3.53E-02,,,6.98E+02,-0.07
6.56E+02,4.54E-02,,,7.01E+02,-0.06
6.52E+02,3.20E-02,,,7.05E+02,-0.08
6.49E+02,5.72E-02,,,7.09E+02,-0.10
6.44E+02,4.04E-02,,,7.14E+02,-0.07
6.40E+02,4.88E-02,,,7.17E+02,-0.09
6.37E+02,4.71E-02,,,7.21E+02,-0.09
6.33E+02,3.87E-02,,,7.24E+02,-0.09
6.29E+02,3.53E-02,,,7.28E+02,-0.11
6.25E+02,4.71E-02,,,7.32E+02,-0.11
6.21E+02,6.56E-02,,,7.36E+02,-0.13
6.18E+02,5.05E-02,,,7.40E+02,-0.13
6.13E+02,2.86E-02,,,7.44E+02,-0.15
6.09E+02,3.87E-02,,,7.48E+02,-0.16
6.06E+02,2.69E-02,,,7.52E+02,-0.16
6.02E+02,3.70E-02,,,7.56E+02,-0.15
5.98E+02,6.06E-02,,,7.59E+02,-0.15
5.94E+02,3.20E-02,,,7.62E+02,-0.17
5.90E+02,4.71E-02,,,7.65E+02,-0.18
5.87E+02,3.20E-02,,,7.70E+02,-0.19
5.84E+02,4.71E-02,,,7.74E+02,-0.22
5.79E+02,4.54E-02,,,7.78E+02,-0.22
5.75E+02,4.38E-02,,,7.81E+02,-0.24
5.71E+02,4.21E-02,,,7.84E+02,-0.26
5.68E+02,4.88E-02,,,7.88E+02,-0.29
5.64E+02,4.21E-02,,,7.92E+02,-0.31
5.60E+02,5.39E-02,,,7.96E+02,-0.33
